px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
0.312243	0.58034	0	0	0	0.312243	0.58034	0.6	0.6	5.19994	0	0
0.734613	0.628749	7.22131	-7.65838e-17	6.96819e-18	0.862916	0.534212	0.859997	0.600045	5.19975	0.00179686	0
1.16052	0.494895	7.22447	-0.127062	-0.0119222	1.17385	0.481073	1.11998	0.600225	5.19943	0.00538996	0
1.2577	0.533203	7.20903	0.121835	0.030988	0.969149	0.397513	1.37996	0.600629	5.19898	0.0107781	0
1.61613	0.595312	7.22307	0.161028	0.0471299	1.65063	0.62469	1.6399	0.601347	5.19839	0.0179597	0
1.85125	0.562658	5.98158	0.0279785	-0.229969	1.62331	0.499091	1.89982	0.60247	5.19766	0.0269323	0
2.16198	0.592354	5.98174	0.0423233	-0.173654	2.18882	0.648739	2.1597	0.604086	5.19678	0.0376932	0
2.37762	0.639173	5.54903	0.0630177	-0.295984	1.96701	0.557117	2.41954	0.606284	5.19573	0.0502389	0
2.65288	0.657243	5.54805	0.0523466	-0.280234	2.65526	0.66598	2.67932	0.609155	5.1945	0.0645654	0
2.91941	0.651393	5.48297	0.00728089	-0.420946	2.92034	0.645898	2.93904	0.612786	5.19309	0.080668	0
3.15344	0.648366	5.4366	-0.00559933	-0.392362	3.01222	0.637046	3.19869	0.617267	5.19147	0.0985415	0
3.44008	0.543634	5.48367	-0.157966	-0.829371	3.56096	0.485311	3.45825	0.622685	5.18963	0.11818	0
3.74353	0.429561	5.56563	-0.2831	-1.07832	3.89365	0.311793	3.71772	0.62913	5.18754	0.139576	0
4.0234	0.516285	5.53357	-0.138013	-0.513172	4.19786	0.698311	3.97708	0.636689	5.18519	0.162724	0
4.29678	0.509637	5.50954	-0.129276	-0.426902	4.30935	0.578564	4.23632	0.645449	5.18256	0.187614	0
4.55482	0.55193	5.38168	-0.0800515	-0.267351	4.61908	0.68951	4.49542	0.655498	5.17962	0.214238	0
4.73711	0.666766	5.17135	0.0328497	0.0182373	4.35143	0.899174	4.75437	0.666921	5.17634	0.242587	0
4.98805	0.666642	5.08018	0.0248949	-0.00428371	5.20901	0.66599	5.01315	0.679804	5.1727	0.272649	0
5.28719	0.659419	5.15575	0.0110914	-0.0340302	5.51894	0.648233	5.27175	0.694234	5.16867	0.304413	0
5.5472	0.666248	5.25008	0.0160883	-0.0131747	5.22834	0.639362	5.53013	0.710295	5.16422	0.337868	0
